team,url
Boston College,https://assets.stickpng.com/images/609fbd880433b20004f80fb4.png
Butler,https://upload.wikimedia.org/wikipedia/en/thumb/0/06/Butler_Bulldogs_logo.svg/1200px-Butler_Bulldogs_logo.svg.png
Cincinnati,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2c/Cincinnati_Bearcats_logo.svg/1311px-Cincinnati_Bearcats_logo.svg.png
Creighton,https://upload.wikimedia.org/wikipedia/commons/e/e0/Creighton_Bluejays_C_Logo.png
DePaul,https://upload.wikimedia.org/wikipedia/en/thumb/7/79/DePaul_Blue_Demons_logo.svg/1200px-DePaul_Blue_Demons_logo.svg.png
Georgetown,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9f/Georgetown_Hoyas_logo.svg/1020px-Georgetown_Hoyas_logo.svg.png
Louisville,https://upload.wikimedia.org/wikipedia/en/thumb/5/59/Louisville_Cardinals_logo.svg/1200px-Louisville_Cardinals_logo.svg.png
Marquette,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ee/Marquette_mu_small.png/640px-Marquette_mu_small.png
Miami (FL),https://upload.wikimedia.org/wikipedia/commons/thumb/e/e9/Miami_Hurricanes_logo.svg/1280px-Miami_Hurricanes_logo.svg.png
Notre Dame,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f5/Notre_Dame_Fighting_Irish_logo.svg/1200px-Notre_Dame_Fighting_Irish_logo.svg.png
Pitt,https://upload.wikimedia.org/wikipedia/commons/thumb/4/44/Pitt_Panthers_wordmark.svg/2560px-Pitt_Panthers_wordmark.svg.png
Providence,https://upload.wikimedia.org/wikipedia/commons/5/5f/Providence_Friars_P_script_logo.gif?20101021031623
Rutgers,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b6/Rutgers_Scarlet_Knights_logo.svg/1153px-Rutgers_Scarlet_Knights_logo.svg.png
Seton Hall,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ea/Seton_Hall_Pirates_wordmark.svg/285px-Seton_Hall_Pirates_wordmark.svg.png?20170326030527
South Florida,https://assets.stickpng.com/images/6105427215f65d00049d30ad.png
St. John's (NY),https://upload.wikimedia.org/wikipedia/commons/thumb/6/62/St._John%27s_Red_Storm_logo.svg/1468px-St._John%27s_Red_Storm_logo.svg.png
Syracuse,https://upload.wikimedia.org/wikipedia/commons/thumb/4/49/Syracuse_Orange_logo.svg/800px-Syracuse_Orange_logo.svg.png
UConn,https://www.freelogovectors.net/svg08/uconn-huskies-logo.svg
Villanova,https://upload.wikimedia.org/wikipedia/commons/thumb/2/23/Villanova_Wildcats_logo.svg/1148px-Villanova_Wildcats_logo.svg.png
Virginia Tech,https://upload.wikimedia.org/wikipedia/commons/thumb/6/60/Virginia_Tech_Hokies_logo.svg/1280px-Virginia_Tech_Hokies_logo.svg.png
West Virginia,https://1000logos.net/wp-content/uploads/2022/03/West-Virginia-Mountaineers-logo.png
Xavier,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ca/Xavier_logo-primary-1c-lt.svg/1280px-Xavier_logo-primary-1c-lt.svg.png
